child,parent,source
us-gaap:PropertyPlantAndEquipmentUsefulLifeMaximum,us-gaap:NoncurrentAssets,auto
us-gaap:PropertyPlantAndEquipmentUsefulLifeMinimum,us-gaap:NoncurrentAssets,auto
us-gaap:ResearchAndDevelopmentExpense,us-gaap:OperatingExpenses,auto
us-gaap:ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,us-gaap:OperatingExpenses,auto
us-gaap:ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,us-gaap:OperatingExpenses,auto
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:Revenues,auto
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,us-gaap:Revenues,auto
us-gaap:SalesRevenueNet,us-gaap:Revenues,auto
us-gaap:SellingGeneralAndAdministrativeExpense,us-gaap:OperatingExpenses,auto
us-gaap:ShortTermInvestments,us-gaap:CurrentAssets,auto
